,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,lat,lng,pca_x,pca_y,cluster
1850,Bronx,Westchester,02 TWO FAMILY DWELLINGS                    ,1,3822,29,B1,2248 NEWBOLD AVENUE,10462,2,0,2,2472,2660,1940,1,B1,240000,40.83357968,-73.84951724,-2.942190784727475,-0.06695800595552424,0
1433,Bronx,Morrisania/Longwood,07 RENTALS - WALKUP APARTMENTS             ,2B,2394,29,C4,1215 BROOK AVENUE,10456,8,0,8,2400,6400,1931,2,C4,1260000,40.83157278,-73.90903928,3.9413684465640255,-1.7898248177145415,3
568,Manhattan,Soho,22 STORE BUILDINGS                         ,4,482,28,K4,216 LAFAYETTE STREET,10012,0,2,2,2500,4000,1900,4,K4,8400000,40.72180824,-73.99757655,-2.7933204510589755,3.9619442938738856,4
3497,Brooklyn,Canarsie,02 TWO FAMILY DWELLINGS                    ,1,8086,8,B9,1475 EAST 89TH STREET,11236,2,0,2,2133,2898,1960,1,B9,10,40.63018872,-73.89609103,-3.0662834043696283,-0.333653122591799,2
3884,Brooklyn,Crown Heights,03 THREE FAMILY DWELLINGS                  ,1,1370,26,C0,1196 PARK PLACE,11213,3,0,3,2427,2922,1901,1,C0,694650,40.67272454,-73.93796153,-1.8507099772068631,-0.4397523987866311,3
2797,Brooklyn,Boerum Hill,02 TWO FAMILY DWELLINGS                    ,1,185,3,B3,87 NEVINS STREET,11217,2,0,2,1500,2720,1899,1,B3,2300000,40.68581729,-73.98279495,-2.8690870211609103,-0.2752105553906636,8
1778,Bronx,Throgs Neck,01 ONE FAMILY DWELLINGS                    ,1,5595,14,A5,250 BALCOM,10465,1,0,1,1800,1998,1960,1,A5,500000,40.8154135,-73.82242495,-4.2354639274478885,-0.21618355798950276,6
2324,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1785,62,S2,675 LAFAYETTE AVENUE,11216,2,1,3,1917,3489,1899,1,S2,10,40.69040041,-73.94697476,-2.719994125385403,-0.30883705091206504,8
2181,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1593,48,B3,421 HART STREET,11221,2,0,2,2000,2160,1899,1,B3,1350000,40.69497241,-73.93326407,-3.0148205946286337,-0.31508279184697224,9
4845,Brooklyn,Gowanus,03 THREE FAMILY DWELLINGS                  ,1,992,47,C0,249 7TH STREET,11215,3,0,3,1933,2625,1899,1,C0,2400000,40.67190479,-73.98841145,-1.7811643769230032,-0.4306125346138867,4
6437,Queens,East Elmhurst,02 TWO FAMILY DWELLINGS                    ,1,1702,30,B2,32-06 108TH   STREET,11369,2,0,2,1700,2226,2001,1,B2,800000,40.75974861,-73.86140749,-3.216521080656254,-0.6214972837336414,9
3408,Brooklyn,Bushwick,07 RENTALS - WALKUP APARTMENTS             ,2A,3269,40,C2,257 HIMROD STREET,11237,6,0,6,2500,4500,1931,2,C2,1400000,40.700975799999995,-73.9190036,1.5699301977178373,-1.2111984963771742,0
2994,Brooklyn,Borough Park,03 THREE FAMILY DWELLINGS                  ,1,5657,29,C0,1458 51ST STREET,11219,3,0,3,4007,6300,1970,1,C0,900000,40.63166109,-73.98964735,-0.6137336278385751,2.023484449078368,6
4563,Brooklyn,Flatbush-East,03 THREE FAMILY DWELLINGS                  ,1,4917,56,C0,181 E 32 ST,11226,3,0,3,2000,3000,1910,1,C0,500000,40.64628905,-73.94713613,-1.9933127995759297,-0.8221231669287916,6
3299,Brooklyn,Bushwick,02 TWO FAMILY DWELLINGS                    ,1,3434,47,B2,127 COOPER STREET,11207,2,0,2,1925,2889,1899,1,B2,1275000,40.68726897,-73.90788376,-2.878030641470615,-0.17870631241134616,5
73,Manhattan,East Village,07 RENTALS - WALKUP APARTMENTS             ,2,447,42,C1,333 EAST 5TH STREET,10003,24,0,24,2425,7000,1900,2,C1,6354000,40.72620619,-73.98751895,20.506805943922213,-8.351407279626686,9
3183,Brooklyn,Bush Terminal,02 TWO FAMILY DWELLINGS                    ,1,837,19,B9,234 56TH   STREET,11220,2,0,2,2003,2172,1901,1,B9,880000,40.64516993,-74.01958543,-3.093990350455469,-0.4476778586636976,4
2879,Brooklyn,Borough Park,02 TWO FAMILY DWELLINGS                    ,1,5488,74,B1,1511 56TH STREET,11219,2,0,2,1649,2021,1930,1,B1,1315000,40.62825297,-73.99141582,-3.178323848657265,-0.6332492192336256,6
3023,Brooklyn,Borough Park,07 RENTALS - WALKUP APARTMENTS             ,2A,5523,75,C3,1513 62ND STREET,11219,4,0,4,2000,2800,1931,2,C3,1180000,40.62482885,-73.99488754,-0.9689256163901953,-1.1771020989432992,6
6094,Queens,Arverne,02 TWO FAMILY DWELLINGS                    ,1,16090,46,B2,7518 AQUATIC DRIVE,11692,2,0,2,2161,2905,2004,1,B2,730000,40.589407,-73.80308670000002,-2.9725288030136903,-0.05322824529993608,2
7133,Queens,Richmond Hill,02 TWO FAMILY DWELLINGS                    ,1,9399,53,B2,94-11 113TH   STREET,11419,2,0,2,1937,1948,1901,1,B2,685000,40.69217529,-73.83273236,-3.1960578463498153,-0.6311758435503815,7
7614,Staten Island,Midland Beach,01 ONE FAMILY DWELLINGS                    ,1,3730,29,A5,137 KISWICK STREET,10306,1,0,1,2090,2200,2002,1,A5,515000,40.57596424,-74.09454643,-4.1583745408371255,0.1276144200116481,5
3338,Brooklyn,Bushwick,03 THREE FAMILY DWELLINGS                  ,1,3373,54,C0,17 CORNELIA STREET,11221,3,0,3,2000,3000,1910,1,C0,975000,40.68783564,-73.91785635,-1.9099026794984597,-0.6794620405602454,5
3872,Brooklyn,Crown Heights,03 THREE FAMILY DWELLINGS                  ,1,1241,18,C0,866 PARK PLACE,11216,3,0,3,2286,4000,1906,1,C0,1840000,40.67331651,-73.94897303,-1.4518800920919266,0.1188408902343828,8
6375,Queens,Corona,03 THREE FAMILY DWELLINGS                  ,1,1778,1,C0,108-12 37TH DRIVE,11368,3,0,3,3125,4173,1920,1,C0,1380000,40.75325116,-73.85946265,-1.2450060685079016,0.7434819955965494,3
2274,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1678,63,B1,505 DECATUR STREET,11233,2,0,2,1833,2436,1899,1,B1,850000,40.68265141,-73.92321468,-3.080237246048533,-0.520347114705465,8
7408,Queens,Woodhaven,01 ONE FAMILY DWELLINGS                    ,1,8836,5,A5,86-09 DEXTER COURT,11421,1,0,1,1878,2128,1955,1,A5,580000,40.69235764,-73.8677042,-4.188042264690834,-0.09326400896457862,7
3444,Brooklyn,Bushwick,14 RENTALS - 4-10 UNIT                     ,2A,3235,1,S4,177 WILSON AVENUE,11237,4,1,5,2500,6200,1931,2,S4,2450000,40.69970804,-73.92394758,0.4159376993881316,0.7298457806027365,5
2615,Brooklyn,Bedford Stuyvesant,07 RENTALS - WALKUP APARTMENTS             ,2A,1844,56,C2,113 MACON STREET,11216,6,0,6,1950,3071,1910,2,C2,185203,40.68141743,-73.9468269,0.8883165452660193,-2.4857857706179622,3
6531,Queens,Elmhurst,07 RENTALS - WALKUP APARTMENTS             ,2A,1868,27,C3,52-12 94TH   STREET,11373,4,0,4,2000,3360,1989,2,C3,1150000,40.73950225,-73.86888565,-0.8551620903832878,-0.9657589066788906,8
4095,Brooklyn,Dyker Heights,02 TWO FAMILY DWELLINGS                    ,1,6038,12,B1,912 85TH   STREET,11228,2,0,2,2450,2560,1920,1,B1,1423888,40.61899308,-74.02048628,-2.8026775386841987,0.22136261842200705,11
5968,Brooklyn,Williamsburg-East,14 RENTALS - 4-10 UNIT                     ,2B,3097,26,S5,109 MOORE STREET,11206,6,1,7,1875,7406,2004,2,S5,1000000,40.70391241,-73.94126457,2.2030205949935144,-0.8279649889724026,5
4180,Brooklyn,East New York,02 TWO FAMILY DWELLINGS                    ,1,4080,9,B1,617 ASHFORD STREET,11207,2,0,2,1710,1786,1901,1,B1,665000,40.66690252,-73.88331953,-3.3042528952029926,-0.8749480907296009,1
